Device: Xiaomi Redmi Note 7; eSense app version: 4.9.0; android version: 10;
DESCRIPCIÓN;VALOR
NOMBRE DE LA GRABACIÓN;Grabación-15112020-164817;;;;
FECHA (HH:MM:SS);15.11.20 16:48:17;;;;
TIEMPO (HH:MM:SS);00:05:18;;;;
MÁXIMO;7.11 µS;;;;
MÍNIMO;5.06 µS;;;;
DIFERENCIA MIN/MAX;2.05 µS;;;;
MEDIA DE LA SESIÓN;5.89 µS;;;;
AUMENTO DEL TIEMPO (HH:MM:SS);00:01:23;;;;
TIEMPO INVARIABLE (HH:MM:SS);00:00:20;;;;
DISMINUCIÓN DEL TIEMPO (HH:MM:SS);00:03:33;;;;
;;;;;
TOTAL SCR;21;;;;
% DE SCR DE LA SESIÓN;27.9%;;;;
Manos rojas;0;;;;
Manos naranjas;8;;;;
Manos amarillas;45;;;;
Manos verdes;11;;;;
0-5 SCR/MIN (HH:MM:SS);00:04:53;;;;
6-9 SCR/MIN (HH:MM:SS);00:00:27;;;;
10-15 SCR/MIN (HH:MM:SS);00:00:00;;;;
>16 SCR/MIN (HH:MM:SS);00:00:00;;;;
ESTRELLAS;1;;;;
ESTRELLAS CON COLA;0;;;;
;;;;;
STATISTICS;;;;;
SECOND;MICROSIEMENS;TIMESTAMP;SCR;SCR/MIN;MARKER
0.0;5.18;16:48:17:347;0;0;
0.2;5.22;16:48:17:547;0;0;
0.4;5.23;16:48:17:747;0;0;
0.6;5.23;16:48:17:947;0;0;
0.8;5.23;16:48:18:147;0;0;
1.0;5.23;16:48:18:347;0;0;
1.2;5.22;16:48:18:547;0;0;
1.4;5.21;16:48:18:747;0;0;
1.6;5.21;16:48:18:947;0;0;
1.8;5.21;16:48:19:147;0;0;
2.0;5.21;16:48:19:347;0;0;
2.2;5.20;16:48:19:547;0;0;
2.4;5.20;16:48:19:747;0;0;
2.6;5.20;16:48:19:947;0;0;
2.8;5.19;16:48:20:147;0;0;
3.0;5.18;16:48:20:347;0;0;
3.2;5.19;16:48:20:547;0;0;
3.4;5.18;16:48:20:747;0;0;
3.6;5.17;16:48:20:947;0;0;
3.8;5.17;16:48:21:147;0;0;
4.0;5.17;16:48:21:347;0;0;
4.2;5.18;16:48:21:547;0;0;
4.4;5.19;16:48:21:747;0;0;
4.6;5.22;16:48:21:947;0;0;
4.8;5.27;16:48:22:147;0;0;
5.0;5.29;16:48:22:347;0;0;
5.2;5.32;16:48:22:547;0;0;
5.4;5.33;16:48:22:747;0;0;
5.6;5.33;16:48:22:947;0;0;
5.8;5.34;16:48:23:147;0;0;
6.0;5.37;16:48:23:347;0;0;
6.2;5.40;16:48:23:547;0;0;
6.4;5.43;16:48:23:747;0;0;
6.6;5.46;16:48:23:947;0;0;
6.8;5.49;16:48:24:147;0;0;
7.0;5.49;16:48:24:347;0;0;
7.2;5.50;16:48:24:547;0;0;
7.4;5.50;16:48:24:747;0;0;
7.6;5.50;16:48:24:947;0;0;
7.8;5.52;16:48:25:147;0;0;
8.0;5.54;16:48:25:347;0;0;
8.2;5.56;16:48:25:547;0;0;
8.4;5.58;16:48:25:747;0;0;
8.6;5.58;16:48:25:947;1;0;
8.8;5.57;16:48:26:147;1;0;
9.0;5.56;16:48:26:347;1;0;
9.2;5.54;16:48:26:547;1;0;
9.4;5.52;16:48:26:747;1;0;
9.6;5.49;16:48:26:947;1;0;
9.8;5.46;16:48:27:147;1;0;
10.0;5.45;16:48:27:347;1;0;
10.2;5.44;16:48:27:547;1;0;
10.4;5.41;16:48:27:747;1;0;
10.6;5.39;16:48:27:947;1;0;
10.8;5.38;16:48:28:147;1;0;
11.0;5.36;16:48:28:347;1;0;
11.2;5.34;16:48:28:547;1;0;
11.4;5.33;16:48:28:747;1;0;
11.6;5.33;16:48:28:947;1;0;
11.8;5.31;16:48:29:147;1;0;
12.0;5.30;16:48:29:347;1;0;
12.2;5.29;16:48:29:547;1;1;
12.4;5.29;16:48:29:747;1;1;
12.6;5.29;16:48:29:947;1;1;
12.8;5.30;16:48:30:147;1;1;
13.0;5.30;16:48:30:347;1;1;
13.2;5.31;16:48:30:547;1;1;
13.4;5.31;16:48:30:747;1;1;
13.6;5.31;16:48:30:947;1;1;
13.8;5.31;16:48:31:147;1;1;
14.0;5.31;16:48:31:347;0;1;
14.2;5.31;16:48:31:547;0;1;
14.4;5.30;16:48:31:747;0;1;
14.6;5.30;16:48:31:947;0;1;
14.8;5.30;16:48:32:147;0;1;
15.0;5.30;16:48:32:347;0;1;
15.2;5.31;16:48:32:547;0;1;
15.4;5.30;16:48:32:747;0;1;
15.6;5.30;16:48:32:947;0;1;
15.8;5.30;16:48:33:147;0;1;
16.0;5.29;16:48:33:347;0;1;
16.2;5.26;16:48:33:547;0;1;
16.4;5.25;16:48:33:747;0;1;
16.6;5.23;16:48:33:947;0;1;
16.8;5.21;16:48:34:147;0;1;
17.0;5.21;16:48:34:347;0;1;
17.2;5.21;16:48:34:547;0;1;
17.4;5.19;16:48:34:747;0;1;
17.6;5.17;16:48:34:947;0;1;
17.8;5.16;16:48:35:147;0;1;
18.0;5.14;16:48:35:347;0;1;
18.2;5.13;16:48:35:547;0;1;
18.4;5.12;16:48:35:747;0;1;
18.6;5.11;16:48:35:947;0;1;
18.8;5.10;16:48:36:147;0;1;
19.0;5.08;16:48:36:347;0;1;
19.2;5.08;16:48:36:547;0;1;
19.4;5.08;16:48:36:747;0;1;
19.6;5.08;16:48:36:947;0;1;
19.8;5.08;16:48:37:147;0;1;
20.0;5.09;16:48:37:347;0;1;
20.2;5.10;16:48:37:547;0;1;
20.4;5.10;16:48:37:747;0;1;
20.6;5.09;16:48:37:947;0;1;
20.8;5.08;16:48:38:147;0;1;
21.0;5.08;16:48:38:347;0;1;
21.2;5.09;16:48:38:547;0;1;
21.4;5.08;16:48:38:747;0;1;
21.6;5.07;16:48:38:947;0;1;
21.8;5.07;16:48:39:147;0;1;
22.0;5.08;16:48:39:347;0;1;
22.2;5.07;16:48:39:547;0;1;
22.4;5.06;16:48:39:747;0;1;
22.6;5.07;16:48:39:947;0;1;
22.8;5.08;16:48:40:147;0;1;
23.0;5.09;16:48:40:347;0;1;
23.2;5.13;16:48:40:547;0;1;
23.4;5.13;16:48:40:747;0;1;
23.6;5.17;16:48:40:947;0;1;
23.8;5.20;16:48:41:147;0;1;
24.0;5.23;16:48:41:347;0;1;
24.2;5.23;16:48:41:547;0;1;
24.4;5.27;16:48:41:747;0;1;
24.6;5.28;16:48:41:947;0;1;
24.8;5.29;16:48:42:147;0;1;
25.0;5.35;16:48:42:347;0;1;
25.2;5.39;16:48:42:547;0;1;
25.4;5.39;16:48:42:747;0;1;
25.6;5.43;16:48:42:947;0;1;
25.8;5.45;16:48:43:147;0;1;
26.0;5.46;16:48:43:347;0;1;
26.2;5.44;16:48:43:547;0;1;
26.4;5.44;16:48:43:747;0;1;
26.6;5.44;16:48:43:947;0;1;
26.8;5.42;16:48:44:147;0;1;
27.0;5.40;16:48:44:347;0;1;
27.2;5.37;16:48:44:547;0;1;
27.4;5.35;16:48:44:747;1;1;
27.6;5.35;16:48:44:947;1;1;
27.8;5.34;16:48:45:147;1;1;
28.0;5.34;16:48:45:347;1;1;
28.2;5.36;16:48:45:547;1;1;
28.4;5.38;16:48:45:747;1;1;
28.6;5.40;16:48:45:947;1;1;
28.8;5.42;16:48:46:147;1;1;
29.0;5.45;16:48:46:347;1;1;
29.2;5.50;16:48:46:547;1;1;
29.4;5.53;16:48:46:747;1;1;
29.6;5.54;16:48:46:947;1;1;
29.8;5.54;16:48:47:147;1;2;
30.0;5.54;16:48:47:347;1;2;
30.2;5.54;16:48:47:547;1;2;
30.4;5.53;16:48:47:747;1;2;
30.6;5.50;16:48:47:947;1;2;
30.8;5.47;16:48:48:147;1;2;
31.0;5.47;16:48:48:347;1;2;
31.2;5.46;16:48:48:547;1;2;
31.4;5.45;16:48:48:747;1;2;
31.6;5.43;16:48:48:947;1;2;
31.8;5.43;16:48:49:147;1;2;
32.0;5.46;16:48:49:347;1;2;
32.2;5.49;16:48:49:547;1;2;
32.4;5.49;16:48:49:747;1;2;
32.6;5.53;16:48:49:947;1;2;
32.8;5.55;16:48:50:147;1;2;
33.0;5.56;16:48:50:347;1;2;
33.2;5.55;16:48:50:547;1;2;
33.4;5.54;16:48:50:747;1;3;
33.6;5.54;16:48:50:947;1;3;
33.8;5.52;16:48:51:147;1;3;
34.0;5.50;16:48:51:347;1;3;
34.2;5.47;16:48:51:547;1;3;
34.4;5.45;16:48:51:747;1;3;
34.6;5.43;16:48:51:947;1;3;
34.8;5.43;16:48:52:147;1;3;
35.0;5.41;16:48:52:347;1;3;
35.2;5.40;16:48:52:547;1;3;
35.4;5.38;16:48:52:747;1;3;
35.6;5.38;16:48:52:947;1;3;
35.8;5.37;16:48:53:147;1;3;
36.0;5.37;16:48:53:347;1;3;
36.2;5.36;16:48:53:547;1;3;
36.4;5.34;16:48:53:747;1;3;
36.6;5.33;16:48:53:947;1;4;
36.8;5.33;16:48:54:147;1;4;
37.0;5.31;16:48:54:347;1;4;
37.2;5.31;16:48:54:547;1;4;
37.4;5.30;16:48:54:747;1;4;
37.6;5.29;16:48:54:947;1;4;
37.8;5.27;16:48:55:147;1;4;
38.0;5.26;16:48:55:347;1;4;
38.2;5.26;16:48:55:547;1;4;
38.4;5.26;16:48:55:747;1;4;
38.6;5.24;16:48:55:947;1;4;
38.8;5.24;16:48:56:147;1;4;
39.0;5.22;16:48:56:347;0;4;
39.2;5.21;16:48:56:547;0;4;
39.4;5.20;16:48:56:747;0;4;
39.6;5.20;16:48:56:947;0;4;
39.8;5.19;16:48:57:147;0;4;
40.0;5.17;16:48:57:347;0;4;
40.2;5.16;16:48:57:547;0;4;
40.4;5.15;16:48:57:747;0;4;
40.6;5.15;16:48:57:947;0;4;
40.8;5.14;16:48:58:147;0;4;
41.0;5.13;16:48:58:347;0;4;
41.2;5.13;16:48:58:547;0;4;
41.4;5.17;16:48:58:747;0;4;
41.6;5.21;16:48:58:947;0;4;
41.8;5.24;16:48:59:147;0;4;
42.0;5.29;16:48:59:347;0;4;
42.2;5.38;16:48:59:547;0;4;
42.4;5.42;16:48:59:747;0;4;
42.6;5.45;16:48:59:947;0;4;
42.8;5.48;16:49:00:147;0;4;
43.0;5.49;16:49:00:347;0;4;
43.2;5.48;16:49:00:547;0;4;
43.4;5.46;16:49:00:747;0;4;
43.6;5.45;16:49:00:947;0;4;
43.8;5.42;16:49:01:147;0;4;
44.0;5.40;16:49:01:347;0;4;
44.2;5.38;16:49:01:547;0;4;
44.4;5.36;16:49:01:747;0;4;
44.6;5.34;16:49:01:947;0;4;
44.8;5.36;16:49:02:147;0;4;
45.0;5.36;16:49:02:347;0;4;
45.2;5.41;16:49:02:547;0;4;
45.4;5.41;16:49:02:747;0;4;
45.6;5.46;16:49:02:947;0;4;
45.8;5.47;16:49:03:147;0;4;
46.0;5.48;16:49:03:347;1;4;
46.2;5.50;16:49:03:547;1;4;
46.4;5.48;16:49:03:747;1;4;
46.6;5.48;16:49:03:947;1;5;
46.8;5.46;16:49:04:147;1;5;
47.0;5.44;16:49:04:347;0;5;
47.2;5.41;16:49:04:547;0;5;
47.4;5.39;16:49:04:747;0;5;
47.6;5.38;16:49:04:947;0;5;
47.8;5.38;16:49:05:147;0;5;
48.0;5.36;16:49:05:347;0;5;
48.2;5.34;16:49:05:547;0;5;
48.4;5.32;16:49:05:747;0;5;
48.6;5.32;16:49:05:947;0;5;
48.8;5.31;16:49:06:147;0;5;
49.0;5.31;16:49:06:347;0;5;
49.2;5.33;16:49:06:547;0;5;
49.4;5.37;16:49:06:747;0;5;
49.6;5.43;16:49:06:947;0;5;
49.8;5.44;16:49:07:147;0;5;
50.0;5.47;16:49:07:347;0;5;
50.2;5.49;16:49:07:547;0;5;
50.4;5.49;16:49:07:747;0;5;
50.6;5.50;16:49:07:947;0;5;
50.8;5.53;16:49:08:147;0;5;
51.0;5.55;16:49:08:347;0;5;
51.2;5.56;16:49:08:547;0;5;
51.4;5.58;16:49:08:747;0;5;
51.6;5.63;16:49:08:947;0;5;
51.8;5.64;16:49:09:147;0;5;
52.0;5.63;16:49:09:347;0;5;
52.2;5.63;16:49:09:547;0;5;
52.4;5.63;16:49:09:747;0;5;
52.6;5.63;16:49:09:947;0;5;
52.8;5.64;16:49:10:147;0;5;
53.0;5.67;16:49:10:347;0;5;
53.2;5.68;16:49:10:547;1;5;
53.4;5.69;16:49:10:747;1;5;
53.6;5.69;16:49:10:947;1;5;
53.8;5.69;16:49:11:147;1;5;
54.0;5.71;16:49:11:347;1;5;
54.2;5.74;16:49:11:547;1;5;
54.4;5.79;16:49:11:747;1;5;
54.6;5.83;16:49:11:947;1;5;
54.8;5.85;16:49:12:147;1;5;
55.0;5.87;16:49:12:347;1;5;
55.2;5.88;16:49:12:547;1;5;
55.4;5.87;16:49:12:747;1;6;
55.6;5.87;16:49:12:947;1;6;
55.8;5.86;16:49:13:147;1;6;
56.0;5.86;16:49:13:347;1;6;
56.2;5.84;16:49:13:547;1;6;
56.4;5.84;16:49:13:747;1;6;
56.6;5.83;16:49:13:947;1;6;
56.8;5.83;16:49:14:147;1;6;
57.0;5.83;16:49:14:347;1;6;
57.2;5.83;16:49:14:547;1;6;
57.4;5.83;16:49:14:747;1;6;
57.6;5.83;16:49:14:947;1;6;
57.8;5.83;16:49:15:147;1;6;
58.0;5.83;16:49:15:347;1;6;
58.2;5.82;16:49:15:547;1;6;
58.4;5.82;16:49:15:747;1;6;
58.6;5.81;16:49:15:947;1;7;
58.8;5.79;16:49:16:147;1;7;
59.0;5.79;16:49:16:347;1;7;
59.2;5.78;16:49:16:547;1;7;
59.4;5.77;16:49:16:747;1;7;
59.6;5.77;16:49:16:947;1;7;
59.8;5.77;16:49:17:147;1;7;
60.0;5.77;16:49:17:347;1;7;
60.2;5.76;16:49:17:547;1;7;
60.4;5.76;16:49:17:747;1;7;
60.6;5.76;16:49:17:947;1;7;
60.8;5.75;16:49:18:147;1;7;
61.0;5.75;16:49:18:347;1;7;
61.2;5.74;16:49:18:547;1;7;
61.4;5.72;16:49:18:747;1;7;
61.6;5.72;16:49:18:947;1;7;
61.8;5.71;16:49:19:147;1;7;
62.0;5.70;16:49:19:347;1;7;
62.2;5.69;16:49:19:547;1;7;
62.4;5.67;16:49:19:747;1;7;
62.6;5.64;16:49:19:947;1;7;
62.8;5.64;16:49:20:147;1;7;
63.0;5.63;16:49:20:347;1;7;
63.2;5.61;16:49:20:547;1;7;
63.4;5.60;16:49:20:747;1;7;
63.6;5.59;16:49:20:947;1;7;
63.8;5.57;16:49:21:147;1;7;
64.0;5.56;16:49:21:347;0;7;
64.2;5.56;16:49:21:547;0;7;
64.4;5.55;16:49:21:747;0;7;
64.6;5.55;16:49:21:947;0;7;
64.8;5.56;16:49:22:147;0;7;
65.0;5.60;16:49:22:347;0;7;
65.2;5.61;16:49:22:547;0;7;
65.4;5.63;16:49:22:747;0;7;
65.6;5.66;16:49:22:947;0;7;
65.8;5.63;16:49:23:147;0;7;
66.0;5.57;16:49:23:347;0;7;
66.2;5.54;16:49:23:547;0;7;
66.4;5.52;16:49:23:747;0;7;
66.6;5.52;16:49:23:947;0;7;
66.8;5.53;16:49:24:147;0;7;
67.0;5.52;16:49:24:347;0;7;
67.2;5.47;16:49:24:547;0;7;
67.4;5.45;16:49:24:747;0;7;
67.6;5.38;16:49:24:947;0;7;
67.8;5.35;16:49:25:147;0;7;
68.0;5.33;16:49:25:347;0;7;
68.2;5.32;16:49:25:547;0;7;
68.4;5.32;16:49:25:747;0;7;
68.6;5.32;16:49:25:947;0;7;
68.8;5.32;16:49:26:147;0;7;
69.0;5.33;16:49:26:347;0;7;
69.2;5.34;16:49:26:547;0;7;
69.4;5.33;16:49:26:747;0;7;
69.6;5.33;16:49:26:947;0;7;
69.8;5.36;16:49:27:147;0;7;
70.0;5.36;16:49:27:347;0;7;
70.2;5.36;16:49:27:547;0;7;
70.4;5.39;16:49:27:747;0;7;
70.6;5.43;16:49:27:947;0;7;
70.8;5.43;16:49:28:147;0;7;
71.0;5.43;16:49:28:347;0;7;
71.2;5.43;16:49:28:547;0;7;
71.4;5.43;16:49:28:747;0;7;
71.6;5.43;16:49:28:947;0;7;
71.8;5.45;16:49:29:147;0;7;
72.0;5.47;16:49:29:347;0;7;
72.2;5.49;16:49:29:547;0;7;
72.4;5.49;16:49:29:747;0;6;
72.6;5.49;16:49:29:947;0;6;
72.8;5.49;16:49:30:147;0;6;
73.0;5.49;16:49:30:347;0;6;
73.2;5.46;16:49:30:547;0;6;
73.4;5.45;16:49:30:747;0;6;
73.6;5.45;16:49:30:947;0;6;
73.8;5.41;16:49:31:147;0;6;
74.0;5.39;16:49:31:347;0;6;
74.2;5.38;16:49:31:547;0;6;
74.4;5.37;16:49:31:747;0;6;
74.6;5.37;16:49:31:947;0;6;
74.8;5.35;16:49:32:147;0;6;
75.0;5.34;16:49:32:347;0;6;
75.2;5.34;16:49:32:547;0;6;
75.4;5.33;16:49:32:747;0;6;
75.6;5.32;16:49:32:947;0;6;
75.8;5.32;16:49:33:147;0;6;
76.0;5.32;16:49:33:347;0;6;
76.2;5.30;16:49:33:547;0;6;
76.4;5.30;16:49:33:747;0;6;
76.6;5.31;16:49:33:947;0;6;
76.8;5.34;16:49:34:147;0;6;
77.0;5.34;16:49:34:347;0;6;
77.2;5.37;16:49:34:547;0;6;
77.4;5.39;16:49:34:747;0;6;
77.6;5.42;16:49:34:947;0;6;
77.8;5.42;16:49:35:147;0;6;
78.0;5.42;16:49:35:347;0;6;
78.2;5.42;16:49:35:547;0;6;
78.4;5.43;16:49:35:747;0;6;
78.6;5.43;16:49:35:947;0;6;
78.8;5.47;16:49:36:147;0;6;
79.0;5.54;16:49:36:347;0;6;
79.2;5.54;16:49:36:547;0;6;
79.4;5.63;16:49:36:747;0;6;
79.6;5.72;16:49:36:947;0;6;
79.8;5.77;16:49:37:147;0;6;
80.0;5.81;16:49:37:347;0;6;
80.2;5.81;16:49:37:547;0;6;
80.4;5.81;16:49:37:747;0;6;
80.6;5.80;16:49:37:947;0;6;
80.8;5.79;16:49:38:147;0;6;
81.0;5.78;16:49:38:347;0;6;
81.2;5.78;16:49:38:547;0;6;
81.4;5.80;16:49:38:747;0;6;
81.6;5.80;16:49:38:947;0;6;
81.8;5.81;16:49:39:147;0;6;
82.0;5.81;16:49:39:347;0;6;
82.2;5.79;16:49:39:547;0;6;
82.4;5.78;16:49:39:747;0;6;
82.6;5.77;16:49:39:947;0;6;
82.8;5.77;16:49:40:147;0;6;
83.0;5.75;16:49:40:347;0;6;
83.2;5.74;16:49:40:547;0;6;
83.4;5.73;16:49:40:747;0;6;
83.6;5.73;16:49:40:947;0;6;
83.8;5.72;16:49:41:147;0;6;
84.0;5.72;16:49:41:347;0;6;
84.2;5.71;16:49:41:547;0;6;
84.4;5.71;16:49:41:747;0;6;
84.6;5.70;16:49:41:947;0;6;
84.8;5.69;16:49:42:147;0;6;
85.0;5.69;16:49:42:347;0;6;
85.2;5.69;16:49:42:547;0;6;
85.4;5.68;16:49:42:747;0;6;
85.6;5.66;16:49:42:947;0;6;
85.8;5.66;16:49:43:147;0;6;
86.0;5.66;16:49:43:347;0;6;
86.2;5.66;16:49:43:547;0;6;
86.4;5.64;16:49:43:747;0;6;
86.6;5.64;16:49:43:947;0;6;
86.8;5.63;16:49:44:147;0;6;
87.0;5.62;16:49:44:347;0;6;
87.2;5.62;16:49:44:547;0;6;
87.4;5.62;16:49:44:747;0;6;
87.6;5.61;16:49:44:947;0;6;
87.8;5.60;16:49:45:147;0;6;
88.0;5.57;16:49:45:347;0;6;
88.2;5.57;16:49:45:547;0;6;
88.4;5.55;16:49:45:747;0;6;
88.6;5.55;16:49:45:947;0;6;
88.8;5.54;16:49:46:147;0;6;
89.0;5.54;16:49:46:347;0;6;
89.2;5.54;16:49:46:547;0;6;
89.4;5.57;16:49:46:747;0;6;
89.6;5.64;16:49:46:947;0;6;
89.8;5.64;16:49:47:147;0;5;
90.0;5.68;16:49:47:347;0;5;
90.2;5.72;16:49:47:547;0;5;
90.4;5.75;16:49:47:747;0;5;
90.6;5.76;16:49:47:947;0;5;
90.8;5.76;16:49:48:147;0;5;
91.0;5.74;16:49:48:347;0;5;
91.2;5.72;16:49:48:547;0;5;
91.4;5.70;16:49:48:747;0;5;
91.6;5.67;16:49:48:947;0;5;
91.8;5.62;16:49:49:147;0;5;
92.0;5.62;16:49:49:347;0;5;
92.2;5.60;16:49:49:547;0;5;
92.4;5.57;16:49:49:747;0;5;
92.6;5.54;16:49:49:947;0;5;
92.8;5.52;16:49:50:147;0;5;
93.0;5.50;16:49:50:347;0;5;
93.2;5.50;16:49:50:547;0;5;
93.4;5.49;16:49:50:747;0;4;
93.6;5.49;16:49:50:947;0;4;
93.8;5.47;16:49:51:147;0;4;
94.0;5.46;16:49:51:347;0;4;
94.2;5.47;16:49:51:547;0;4;
94.4;5.47;16:49:51:747;0;4;
94.6;5.46;16:49:51:947;0;4;
94.8;5.46;16:49:52:147;0;4;
95.0;5.46;16:49:52:347;0;4;
95.2;5.44;16:49:52:547;0;4;
95.4;5.44;16:49:52:747;0;4;
95.6;5.44;16:49:52:947;0;4;
95.8;5.44;16:49:53:147;0;4;
96.0;5.42;16:49:53:347;0;4;
96.2;5.40;16:49:53:547;0;4;
96.4;5.40;16:49:53:747;0;4;
96.6;5.40;16:49:53:947;0;4;
96.8;5.39;16:49:54:147;0;3;
97.0;5.38;16:49:54:347;0;3;
97.2;5.38;16:49:54:547;0;3;
97.4;5.37;16:49:54:747;0;3;
97.6;5.35;16:49:54:947;0;3;
97.8;5.35;16:49:55:147;0;3;
98.0;5.33;16:49:55:347;0;3;
98.2;5.33;16:49:55:547;0;3;
98.4;5.36;16:49:55:747;0;3;
98.6;5.37;16:49:55:947;0;3;
98.8;5.43;16:49:56:147;0;3;
99.0;5.47;16:49:56:347;0;3;
99.2;5.59;16:49:56:547;0;3;
99.4;5.79;16:49:56:747;0;3;
99.6;5.95;16:49:56:947;0;3;
99.8;6.07;16:49:57:147;0;3;
100.0;6.13;16:49:57:347;0;3;
100.2;6.16;16:49:57:547;0;3;
100.4;6.18;16:49:57:747;0;3;
100.6;6.19;16:49:57:947;0;3;
100.8;6.19;16:49:58:147;0;3;
101.0;6.19;16:49:58:347;0;3;
101.2;6.16;16:49:58:547;0;3;
101.4;6.12;16:49:58:747;0;3;
101.6;6.12;16:49:58:947;0;3;
101.8;6.12;16:49:59:147;0;3;
102.0;6.14;16:49:59:347;0;3;
102.2;6.18;16:49:59:547;0;3;
102.4;6.23;16:49:59:747;0;3;
102.6;6.23;16:49:59:947;0;3;
102.8;6.30;16:50:00:147;0;3;
103.0;6.30;16:50:00:347;0;3;
103.2;6.31;16:50:00:547;0;3;
103.4;6.32;16:50:00:747;1;3;
103.6;6.33;16:50:00:947;1;3;
103.8;6.33;16:50:01:147;1;3;
104.0;6.32;16:50:01:347;1;3;
104.2;6.33;16:50:01:547;1;3;
104.4;6.32;16:50:01:747;1;3;
